group_id,id,total.minutes,date_arrive,id_count,date
2018-08-02_5,1116_1124_2038_2039,475.0,02/08/2018,4,2018-08-02
2018-08-02_7,1006_1101,78.0,02/08/2018,2,2018-08-02
2018-08-02_8,1009_1103_1104_1121_1122,410.2,02/08/2018,5,2018-08-02
2018-08-02_9,1030_1031_1115_1120_3076,280.2,02/08/2018,5,2018-08-02
2018-08-03_1,1010_1101,82.0,03/08/2018,2,2018-08-03
2018-08-03_11,1116_1124_2523,347.0,03/08/2018,3,2018-08-03
2018-08-03_1101,1101,118.5,03/08/2018,1,2018-08-03
2018-08-03_1103,1103,243.0,03/08/2018,1,2018-08-03
2018-08-03_1124,1124,32.0,03/08/2018,1,2018-08-03
2018-08-03_12,2538_2542,6.0,03/08/2018,2,2018-08-03
2018-08-03_13,1011_2513,99.0,03/08/2018,2,2018-08-03
2018-08-03_14,3041_3076,390.0,03/08/2018,2,2018-08-03
2018-08-03_15,1006_1030_1032,153.66666666666666,03/08/2018,3,2018-08-03
2018-08-03_16,2538_2542_3142,96.0,03/08/2018,3,2018-08-03
2018-08-03_18,2038_2039,359.0,03/08/2018,2,2018-08-03
2018-08-03_2,3040_3077_3117,94.33333333333333,03/08/2018,3,2018-08-03
2018-08-03_20,1009_1016_1031_3117_3119,13.0,03/08/2018,5,2018-08-03
2018-08-03_2038,2038,81.0,03/08/2018,1,2018-08-03
2018-08-03_24,1006_1032,9.5,03/08/2018,2,2018-08-03
2018-08-03_3,1006_2544,1.5,03/08/2018,2,2018-08-03
2018-08-03_3040,3040,213.5,03/08/2018,1,2018-08-03
2018-08-03_5,1007_1008_1016_1035_2030_2031_2513_2523_2539_2544_3119,113.0909090909091,03/08/2018,11,2018-08-03
2018-08-03_6,1006_1032,102.0,03/08/2018,2,2018-08-03
2018-08-03_7,1007_1010_2539_2544_3118,145.6,03/08/2018,5,2018-08-03
2018-08-03_8,1035_1102_1104_1120_1121_1122_3077_3117,296.0,03/08/2018,8,2018-08-03
2018-08-03_9,1008_1009_1011_1031_2523_3119,9.0,03/08/2018,6,2018-08-03
2018-08-04_1,1006_1032,18.0,04/08/2018,2,2018-08-04
2018-08-04_10,2030_2031_2539,271.0,04/08/2018,3,2018-08-04
2018-08-04_1032,1032,15.0,04/08/2018,1,2018-08-04
2018-08-04_11,1010_1121_2544_3041_3117_3118,15.333333333333334,04/08/2018,6,2018-08-04
