group_id,kcal,type,date,group_size,forager_ids
2018-07-30_1122,823.6526355000001,foraging,2018-07-30,1,{'1122'}
2018-07-30_2030,2634.642857,foraging,2018-07-30,1,{'2030'}
2018-07-30_2031,1298.8658854166667,foraging,2018-07-30,1,{'2031'}
2018-07-30_2038,5960.833333333333,foraging,2018-07-30,1,{'2038'}
2018-07-30_2039,1476.0,foraging,2018-07-30,1,{'2039'}
2018-07-30_2500,21.97125,foraging,2018-07-30,1,{'2500'}
2018-07-30_3041,730.85,foraging,2018-07-30,1,{'3041'}
2018-07-30_3075,1605.5,foraging,2018-07-30,1,{'3075'}
2018-07-30_3076,864.62992125,foraging,2018-07-30,1,{'3076'}
2018-07-30_3077,1801.913976375,foraging,2018-07-30,1,{'3077'}
2018-07-30_3117,934.1999999999999,foraging,2018-07-30,1,{'3117'}
2018-07-31_1007,2950.7999999999997,foraging,2018-07-31,1,{'1007'}
2018-07-31_1010,227.14466455800004,foraging,2018-07-31,1,{'1010'}
2018-07-31_1016,49.0,foraging,2018-07-31,1,{'1016'}
2018-07-31_1016_3117,117.75172500000001,foraging,2018-07-31,2,"{'1016', '3117'}"
2018-07-31_1030_1035_3077_3117,196.0,foraging,2018-07-31,4,"{'1035', '1030', '3077', '3117'}"
2018-07-31_1035,1309.0,foraging,2018-07-31,1,{'1035'}
2018-07-31_1102,184.97990483333334,foraging,2018-07-31,1,{'1102'}
2018-07-31_1116,2737.0,foraging,2018-07-31,1,{'1116'}
2018-07-31_1120,3153.5,foraging,2018-07-31,1,{'1120'}
2018-07-31_1121,579.4616484125,foraging,2018-07-31,1,{'1121'}
2018-07-31_2004,1100.0,foraging,2018-07-31,1,{'2004'}
2018-07-31_2030_2031,6220.0,foraging,2018-07-31,2,"{'2031', '2030'}"
2018-07-31_2039,1365.0,foraging,2018-07-31,1,{'2039'}
2018-07-31_2523,3688.5,foraging,2018-07-31,1,{'2523'}
2018-07-31_2539,171.5,foraging,2018-07-31,1,{'2539'}
2018-07-31_3040,5205.267519976688,foraging,2018-07-31,1,{'3040'}
2018-07-31_3041,1010.4567691859376,foraging,2018-07-31,1,{'3041'}
2018-07-31_3077,329.10859375,foraging,2018-07-31,1,{'3077'}
2018-07-31_3078,4235.0,foraging,2018-07-31,1,{'3078'}
2018-07-31_3117,279.423828125,foraging,2018-07-31,1,{'3117'}
2018-07-31_3142,1695.9266591875,foraging,2018-07-31,1,{'3142'}
2018-08-01_1008,263.5,foraging,2018-08-01,1,{'1008'}
2018-08-01_1009,408.39824999999996,foraging,2018-08-01,1,{'1009'}
2018-08-01_1010_1030_2523,134.75,foraging,2018-08-01,3,"{'2523', '1010', '1030'}"
2018-08-01_1016,2856.0,foraging,2018-08-01,1,{'1016'}
2018-08-01_1030,61.25,foraging,2018-08-01,1,{'1030'}
2018-08-01_1031,158.1,foraging,2018-08-01,1,{'1031'}
2018-08-01_1032,250.37992125000002,foraging,2018-08-01,1,{'1032'}
2018-08-01_1035_3117,1595.2500000333332,foraging,2018-08-01,2,"{'1035', '3117'}"
2018-08-01_1101,5453.856000000001,foraging,2018-08-01,1,{'1101'}
2018-08-01_1102,2497.978125,foraging,2018-08-01,1,{'1102'}
2018-08-01_1104,1347.5290000182251,foraging,2018-08-01,1,{'1104'}
2018-08-01_1115,4308.4285712,foraging,2018-08-01,1,{'1115'}
2018-08-01_1116,2293.8225000455627,foraging,2018-08-01,1,{'1116'}
2018-08-01_1120,91.773000066825,foraging,2018-08-01,1,{'1120'}
2018-08-01_1121,4403.0,foraging,2018-08-01,1,{'1121'}
2018-08-01_1124,186.0,foraging,2018-08-01,1,{'1124'}
2018-08-01_2030,24786.0,foraging,2018-08-01,1,{'2030'}
2018-08-01_2031,1189.4193709458,foraging,2018-08-01,1,{'2031'}
2018-08-01_2039,1041.6797900000001,foraging,2018-08-01,1,{'2039'}
2018-08-01_2039_2513,1011.5,foraging,2018-08-01,2,"{'2039', '2513'}"
2018-08-01_2513,305.4183833854167,foraging,2018-08-01,1,{'2513'}
2018-08-01_3040,448.659,foraging,2018-08-01,1,{'3040'}
2018-08-01_3040_3041,414.8863635,foraging,2018-08-01,2,"{'3040', '3041'}"
2018-08-01_3041,599.32,foraging,2018-08-01,1,{'3041'}
2018-08-02_1007,896.7857145,foraging,2018-08-02,1,{'1007'}
2018-08-02_1007_1008_1010_1011_1016_1035_2513_2523_2544_3077_3117_3118_3119,899.090908,foraging,2018-08-02,13,"{'2544', '2523', '1010', '3077', '3118', '1035', '3117', '1008', '1007', '1016', '3119', '1011', '2513'}"
2018-08-02_1009_1104_1121,561.9318175,foraging,2018-08-02,3,"{'1104', '1121', '1009'}"
2018-08-02_1010,73.5,foraging,2018-08-02,1,{'1010'}
2018-08-02_1011,73.5,foraging,2018-08-02,1,{'1011'}
2018-08-02_1016,33.3720000243,foraging,2018-08-02,1,{'1016'}
2018-08-02_1030_1120,1599.0,foraging,2018-08-02,2,"{'1120', '1030'}"
2018-08-02_1102,178.14285725000002,foraging,2018-08-02,1,{'1102'}
2018-08-02_1104,597.8571430000001,foraging,2018-08-02,1,{'1104'}
2018-08-02_1106,12169.205053161068,foraging,2018-08-02,1,{'1106'}
2018-08-02_1115,369.0,foraging,2018-08-02,1,{'1115'}
2018-08-02_1116,7078.604433428571,foraging,2018-08-02,1,{'1116'}
2018-08-02_1116_2039,4009.5000000000005,foraging,2018-08-02,2,"{'2039', '1116'}"
2018-08-02_1120,1070.2669060091125,foraging,2018-08-02,1,{'1120'}
2018-08-02_1121,4715.061224399999,foraging,2018-08-02,1,{'1121'}
2018-08-02_2007,180.9666666666667,foraging,2018-08-02,1,{'2007'}
2018-08-02_2031,89.07142862500001,foraging,2018-08-02,1,{'2031'}
2018-08-02_2039,3493.4583333333335,foraging,2018-08-02,1,{'2039'}
2018-08-02_2521,2501.8984375,foraging,2018-08-02,1,{'2521'}
2018-08-02_3040,205.86177812024997,foraging,2018-08-02,1,{'3040'}
2018-08-02_3041,18452.5,foraging,2018-08-02,1,{'3041'}
2018-08-02_3076,948.5068868682083,foraging,2018-08-02,1,{'3076'}
2018-08-02_3077,13128.5,foraging,2018-08-02,1,{'3077'}
2018-08-02_3117,134.78571435,foraging,2018-08-02,1,{'3117'}
2018-08-02_3119,1512.5,foraging,2018-08-02,1,{'3119'}
2018-08-02_3142,510.5015974405375,foraging,2018-08-02,1,{'3142'}
2018-08-03_1006_1030_1032,200.30393700000002,foraging,2018-08-03,3,"{'1032', '1006', '1030'}"
2018-08-03_1006_2544,3688.5,foraging,2018-08-03,2,"{'2544', '1006'}"
2018-08-03_1007_1010_2539_2544_3118,842.89772625,foraging,2018-08-03,5,"{'2544', '2539', '1010', '3118', '1007'}"
2018-08-03_1008_1009_1011_1031_2523_3119,224.772727,foraging,2018-08-03,6,"{'2523', '1009', '1031', '1008', '3119', '1011'}"
2018-08-03_1009,33.3720000243,foraging,2018-08-03,1,{'1009'}
2018-08-03_1010_1101,217.0,foraging,2018-08-03,2,"{'1101', '1010'}"
2018-08-03_1016,117.71428580000001,foraging,2018-08-03,1,{'1016'}
2018-08-03_1031,117.0834750091125,foraging,2018-08-03,1,{'1031'}
2018-08-03_1035,746.25,foraging,2018-08-03,1,{'1035'}
2018-08-03_1102,2407.0,foraging,2018-08-03,1,{'1102'}
2018-08-03_1104,2257.36896631,foraging,2018-08-03,1,{'1104'}
