group_id,total.minutes,kcal
2018-08-07_8,53.75,10885.0
2018-08-07_9,434.0,5442.5
2018-08-08_1,40.0,147.14285725000002
2018-08-08_10,79.0,0.0
2018-08-08_11,29.0,0.0
2018-08-08_1101,75.0,0.0
2018-08-08_1116,17.0,294.28571450000004
2018-08-08_1124,45.0,0.0
2018-08-08_12,24.0,0.0
2018-08-08_13,41.0,0.0
2018-08-08_14,9.0,0.0
2018-08-08_2038,141.5,696.7954537
2018-08-08_3,32.0,39.96
2018-08-08_4,53.0,1190.0
2018-08-08_5,74.0,0.0
2018-08-08_6,12.0,0.0
2018-08-08_7,13.0,0.0
2018-08-08_8,168.0,0.0
2018-08-08_9,195.0,0.0
2018-08-09_1,17.0,395.25
2018-08-09_1030,41.0,0.0
2018-08-09_1032,13.0,89.9090908
2018-08-09_11,174.0,0.0
2018-08-09_1119,28.0,4742.3571426
2018-08-09_1124,138.5,0.0
2018-08-09_12,28.0,0.0
2018-08-09_13,25.333333333333332,0.0
2018-08-09_14,49.125,0.0
2018-08-09_16,34.7,0.0
2018-08-09_17,52.0,0.0
2018-08-09_18,14.0,0.0
2018-08-09_19,85.0,0.0
2018-08-09_2,46.0,44712.0
2018-08-09_2030,365.0,570.1831779
2018-08-09_2055,15.0,4742.3571426
2018-08-09_2523,13.0,343.4375
2018-08-09_3142,427.0,794.3
2018-08-09_5,133.0,2103.1913385000003
2018-08-09_6,19.0,0.0
2018-08-09_7,68.0,0.0
2018-08-09_8,245.0,0.0
2018-08-09_9,455.85714285714283,0.0
2018-08-10_10,36.0,0.0
2018-08-10_1006,40.5,0.0
2018-08-10_1010,10.0,0.0
2018-08-10_1101,54.0,0.0
2018-08-10_1102,18.0,0.0
2018-08-10_1103,163.5,0.0
2018-08-10_1119,41.0,0.0
2018-08-10_1120,61.0,164.6870855708
2018-08-10_1122,128.0,168.57954525
2018-08-10_1124,133.5,0.0
2018-08-10_12,232.0,0.0
2018-08-10_13,102.0,0.0
2018-08-10_14,243.0,0.0
2018-08-10_15,34.333333333333336,0.0
2018-08-10_16,28.5,0.0
2018-08-10_17,65.0,0.0
2018-08-10_18,53.6,0.0
2018-08-10_19,27.0,0.0
2018-08-10_2030,382.0,10817.15
2018-08-10_2031,62.0,294.28571450000004
2018-08-10_2038,83.0,0.0
2018-08-10_2522,86.5,147.14285725000002
2018-08-10_2539,2.0,0.0
2018-08-10_3040,54.5,0.0
2018-08-10_3077,77.0,2825.901000042525
2018-08-10_4,306.0,0.0
2018-08-10_5,62.0,58.85714290000001
2018-08-10_7,74.6,0.0
2018-08-10_8,135.5,0.0
2018-08-10_9,129.5,0.0
2018-08-11_1,397.0,126.78464
2018-08-11_10,522.0,0.0
2018-08-11_11,9.0,0.0
2018-08-11_1103,154.0,584.4090902
2018-08-11_1124,298.0,12802.833333333334
2018-08-11_12,61.0,0.0
2018-08-11_13,11.333333333333334,0.0
2018-08-11_14,10.625,0.0
2018-08-11_15,47.0,0.0
2018-08-11_16,16.0,0.0
2018-08-11_17,21.0,0.0
2018-08-11_20,494.5,0.0
2018-08-11_2030,448.0,637.330610625
2018-08-11_21,13.0,0.0
2018-08-11_3,89.0,137.6
2018-08-11_4,338.0,4879.0
2018-08-11_5,464.0,2120.944
2018-08-11_6,508.0,859.9999999999999
2018-08-11_7,1.5,0.0
2018-08-11_8,441.0,0.0
2018-08-11_9,137.11111111111111,0.0
2018-08-12_1,419.0,29160.000000000004
2018-08-12_10,125.0,0.0
2018-08-12_1032,4.0,0.0
2018-08-12_11,371.5,0.0
2018-08-12_1103,362.0,0.0
2018-08-12_1124,236.0,0.0
2018-08-12_12,175.0,0.0
2018-08-12_14,141.0,0.0
2018-08-12_16,17.0,0.0
2018-08-12_17,53.0,0.0
2018-08-12_2038,292.0,2150.1375737500002
2018-08-12_3,235.0,20196.0
2018-08-12_4,126.0,756.8
2018-08-12_5,23.5,5355.0
2018-08-12_7,265.0,1071.0
2018-08-12_9,155.66666666666666,0.0
2018-08-13_1,9.0,179.8181816
2018-08-13_10,412.5,0.0
2018-08-13_1032,61.0,70.982707674375
2018-08-13_11,217.0,0.0
2018-08-13_1103,242.5,0.0
2018-08-13_1116,448.0,5355.0
2018-08-13_1119,203.5,4923.62
2018-08-13_1120,111.0,1285.13793295
2018-08-13_1122,118.5,0.0
2018-08-13_1124,93.0,2393.14765625
2018-08-13_12,45.0,0.0
2018-08-13_13,33.4,0.0
2018-08-13_15,78.83333333333333,0.0
2018-08-13_18,69.0,0.0
2018-08-13_19,32.0,0.0
2018-08-13_2030,408.0,0.0
2018-08-13_2031,399.0,2930.790666674767
2018-08-13_2544,37.0,0.0
2018-08-13_3,77.0,12440.0
2018-08-13_3040,47.0,0.0
2018-08-13_4,76.5,9330.0
2018-08-13_5,29.0,7735.0
2018-08-13_6,557.6666666666666,6961.5
2018-08-13_7,43.0,0.0
2018-08-13_8,343.0,0.0
2018-08-13_9,454.0,0.0
2018-08-14_1,500.8333333333333,247.24999970000002
2018-08-14_10,90.0,0.0
2018-08-14_1008,22.0,105.4
2018-08-14_11,65.0,0.0
2018-08-14_1101,306.0,0.0
2018-08-14_1122,353.5,1194.845528375
2018-08-14_1124,192.5,0.0
2018-08-14_12,72.0,0.0
2018-08-14_15,108.0,0.0
2018-08-14_16,65.44444444444444,0.0
2018-08-14_19,78.66666666666667,0.0
2018-08-14_2038,1.0,0.0
2018-08-14_22,241.0,0.0
2018-08-14_3,78.0,30888.000000000004
2018-08-14_5,316.0,21870.0
2018-08-14_6,323.5,472.0227267
2018-08-14_7,184.0,172.0
2018-08-14_8,1.0,0.0
2018-08-14_9,3.0,0.0
2018-08-15_10,185.0,0.0
2018-08-15_1032,5.0,476.0
2018-08-15_11,78.0,0.0
2018-08-15_1101,78.0,2421.64772715
2018-08-15_1120,89.0,117.71428580000001
2018-08-15_1122,44.0,0.0
2018-08-15_1124,78.0,0.0
2018-08-15_12,386.0,0.0
2018-08-15_14,166.0,0.0
2018-08-15_16,78.0,0.0
2018-08-15_3,482.0,0.0
2018-08-15_3040,146.5,0.0
2018-08-15_5,567.3333333333334,0.0
2018-08-15_6,47.5,0.0
2018-08-15_7,433.5,0.0
2018-08-15_8,509.0,0.0
2018-08-15_9,147.75,0.0
2018-08-16_1,93.0,894.4
2018-08-16_10,235.75,0.0
2018-08-16_1032,34.0,0.0
2018-08-16_11,67.0,0.0
2018-08-16_1103,101.0,0.0
2018-08-16_1121,469.0,861.3399999999999
2018-08-16_12,91.33333333333333,0.0
2018-08-16_13,15.0,0.0
2018-08-16_15,225.0,0.0
2018-08-16_16,406.85714285714283,0.0
2018-08-16_17,121.5,0.0
2018-08-16_18,48.0,0.0
2018-08-16_2,597.0,62.0
2018-08-16_2030,122.0,2339.2
2018-08-16_2038,116.0,0.0
2018-08-16_2039,61.5,1818.7142858
2018-08-16_2523,3.0,55.125
2018-08-16_3142,385.0,955.0725000455625
2018-08-16_4,83.0,2023.0
2018-08-16_5,237.0,5131.5
2018-08-16_6,480.0,16949.5
2018-08-16_7,31.25,0.0
2018-08-16_8,291.3333333333333,0.0
2018-08-16_9,427.0,0.0
2018-08-17_1006,34.0,0.0
2018-08-17_11,2368.6666666666665,0.0
2018-08-17_12,245.4,0.0
2018-08-17_14,1.0,0.0
2018-08-17_15,302.0,0.0
2018-08-17_16,7.0,0.0
2018-08-17_17,64.0,0.0
2018-08-17_20,43.0,0.0
2018-08-17_2038,259.0,0.0
2018-08-17_2513,17.0,0.0
2018-08-17_4,3.0,199.404
2018-08-17_5,569.6666666666666,10108.8
2018-08-17_6,49.0,12150.0
2018-08-17_8,19.0,149.553
2018-08-17_9,34.0,1476.0
2018-08-18_1,44.0,340.0
2018-08-18_10,46.25,1106.7
2018-08-18_11,43.666666666666664,685.86
2018-08-18_1106,451.0,0.0
2018-08-18_2,43.0,105.4
2018-08-18_2522,2.0,902.65
2018-08-18_2523,33.0,44.9545454
2018-08-18_3,15.5,247.24999970000002
2018-08-18_4,1913.5714285714287,1032.0
2018-08-18_7,458.4,5771.5
2018-08-18_8,86.2,1737.512
2018-08-18_9,158.0,3272.5
2018-08-19_1,65.0,340.0
2018-08-19_1008,32.0,0.0
2018-08-19_11,203.33333333333334,0.0
2018-08-19_1102,16.0,0.0
2018-08-19_12,197.0,0.0
2018-08-19_13,245.0,0.0
2018-08-19_14,88.0,0.0
2018-08-19_2,147.0,104.58315
2018-08-19_2031,322.0,4410.1140000000005
2018-08-19_2522,12.0,2714.05
2018-08-19_3,64.0,738.0
2018-08-19_3077,51.0,476.0
2018-08-19_5,288.5,0.0
2018-08-19_7,42.5,0.0
2018-08-19_8,196.3,0.0
2018-08-20_1,137.5,52.7
2018-08-20_1102,287.5,6545.0
2018-08-20_1121,28.0,2510.382759
2018-08-20_2,14.0,12545.624000000002
2018-08-20_2039,193.0,0.0
2018-08-20_2522,24.0,274.344
2018-08-20_3,199.5,5831.0
2018-08-20_3117,67.0,0.0
2018-08-20_3142,486.0,2428.0
2018-08-20_4,299.0,1785.0
2018-08-20_5,536.75,294.28571450000004
2018-08-20_6,522.0,34.31
2018-08-20_7,62.0,131.25
2018-08-20_9,205.0,262.5
2018-08-21_1,18.0,2082.5
2018-08-21_10,278.5,0.0
2018-08-21_11,224.0,0.0
2018-08-21_1101,19.0,14249.999999999998
2018-08-21_1102,26.0,0.0
2018-08-21_1119,19.0,0.0
2018-08-21_1124,9.0,0.0
2018-08-21_12,75.0,0.0
2018-08-21_2030,145.5,21739.3863635
2018-08-21_2031,248.0,585.0076637656
2018-08-21_3,272.0,297.5
2018-08-21_3040,141.0,8905.696590874999
2018-08-21_4,277.0,590.4
2018-08-21_5,317.6666666666667,3412.5
2018-08-21_6,517.5,0.0
2018-08-21_7,403.5,0.0
2018-08-21_8,477.0,0.0
2018-08-21_9,297.0,0.0
2018-08-22_1,176.0,249.255
2018-08-22_10,60.142857142857146,0.0
2018-08-22_11,2.0,0.0
2018-08-22_1101,288.0,0.0
2018-08-22_1104,11.0,147.14285725000002
2018-08-22_12,23.0,0.0
2018-08-22_13,161.0,0.0
2018-08-22_14,437.0,0.0
2018-08-22_2,14.0,55.125
2018-08-22_2544,4.0,0.0
2018-08-22_3,463.0,1100.8
2018-08-22_5,68.5,257.25
2018-08-22_6,266.0,309.59999999999997
2018-08-22_7,401.5,297.5
2018-08-22_8,6.0,344.0
2018-08-22_9,71.5,772.6905
2018-08-23_1,457.1818181818182,600.9118110000001
2018-08-23_10,63.0,0.0
2018-08-23_11,19.0,0.0
2018-08-23_12,78.16666666666667,0.0
2018-08-23_2,374.0,1135.1999999999998
2018-08-23_3,46.75,516.0
2018-08-23_5,289.5,0.0
2018-08-23_6,69.0,0.0
2018-08-23_7,294.0,0.0
2018-08-23_8,257.3333333333333,0.0
2018-08-23_9,380.3333333333333,0.0
2018-08-24_1,69.25,4752.0
2018-08-24_10,437.0,0.0
2018-08-24_11,1.0,0.0
2018-08-24_1101,23.0,0.0
2018-08-24_1106,167.0,0.0
2018-08-24_1120,106.0,206.6
2018-08-24_1124,51.0,33.71590905
2018-08-24_13,5.0,0.0
2018-08-24_14,255.0,0.0
2018-08-24_15,181.0,0.0
2018-08-24_16,172.5,0.0
2018-08-24_3,3.0,52.7
2018-08-24_3040,208.5,720.9
2018-08-24_3041,28.0,235.42857160000003
2018-08-24_5,125.0,103.19999999999999
2018-08-24_6,2.0,892.5
2018-08-24_7,372.8,217.0
2018-08-24_8,411.4,0.0
2018-08-24_9,419.0,0.0
2018-08-25_1,15.0,2213.1
2018-08-25_10,105.5,0.0
2018-08-25_11,163.0,0.0
2018-08-25_1101,59.0,0.0
2018-08-25_1103,158.0,1100.8
2018-08-25_1122,214.0,22744.8
2018-08-25_1124,39.0,0.0
2018-08-25_14,58.0,0.0
2018-08-25_15,7.0,0.0
2018-08-25_16,24.0,0.0
2018-08-25_2030,389.0,40824.0
2018-08-25_2031,378.0,2409.42857145
2018-08-25_2038,155.0,13189.5
2018-08-25_2544,35.0,792.75
2018-08-25_3,23.0,1936.0
2018-08-25_3142,425.0,416.0161904666667
2018-08-25_4,5.0,20606.399999999998
2018-08-25_5,152.5,26284.5
2018-08-25_6,373.6666666666667,21967.2
2018-08-25_7,166.66666666666666,0.0
2018-08-25_8,79.14285714285714,0.0
2018-08-25_9,262.5,0.0
2018-08-26_1,73.0,340.0
2018-08-26_10,75.33333333333333,0.0
2018-08-26_1010,19.0,0.0
2018-08-26_11,19.0,0.0
2018-08-26_1101,23.0,0.0
2018-08-26_1124,69.0,15550.0
2018-08-26_12,160.85714285714286,0.0
2018-08-26_13,184.0,0.0
2018-08-26_14,225.0,0.0
2018-08-26_15,31.6,0.0
2018-08-26_2,51.0,172.0
2018-08-26_2544,43.0,48.76199999999999
2018-08-26_3,388.0,275.2
2018-08-26_3040,168.0,2272.44
2018-08-26_5,337.75,79.05
2018-08-26_6,613.6666666666666,1719.9999999999998
2018-08-26_7,531.0,2380.0
2018-08-26_8,15.666666666666666,172.0
2018-08-26_9,400.5,117.0
2018-08-27_1,314.6,172.0
2018-08-27_10,181.0,0.0
2018-08-27_11,115.0,0.0
2018-08-27_1101,28.0,0.0
2018-08-27_1116,300.0,0.0
2018-08-27_1119,471.0,708.2984847666667
2018-08-27_1120,468.0,1623.6
2018-08-27_1124,156.0,0.0
2018-08-27_2,28.0,68.8
2018-08-27_2544,63.0,0.0
2018-08-27_4,136.5,131.75
2018-08-27_5,204.0,622.0
2018-08-27_6,169.4,859.9999999999999
2018-08-27_7,136.0,309.59999999999997
2018-08-27_8,142.5,353.1428574
2018-08-27_9,82.33333333333333,299.106
2018-08-28_1,597.0,1547.9999999999998
2018-08-28_10,263.5,0.0
2018-08-28_11,506.0,0.0
2018-08-28_1101,251.0,0.0
2018-08-28_12,28.2,0.0
2018-08-28_13,44.875,0.0
2018-08-28_14,221.0,0.0
2018-08-28_2,181.0,2380.0
2018-08-28_2031,47.0,1048.7845238166667
2018-08-28_2038,494.0,480.5
2018-08-28_2039,494.0,3986.5
2018-08-28_3,506.5,5950.0
2018-08-28_3040,142.0,3938.896
2018-08-28_4,524.5,27702.0
2018-08-28_5,137.8,2408.0
2018-08-28_6,544.0,4581.5
2018-08-28_7,450.2,1476.0
2018-08-28_8,525.5,516.0
2018-08-28_9,275.0,0.0
2018-08-29_1,506.1,52.7
2018-08-29_10,9.0,1785.0
2018-08-29_1032,17.0,0.0
2018-08-29_11,79.0,7735.0
2018-08-29_1124,66.0,14404.500000000002
2018-08-29_12,381.0,476.0
2018-08-29_2,316.5,134.8636362
2018-08-29_2030,334.0,0.0
2018-08-29_2038,21.0,0.0
2018-08-29_2055,16.0,7192.8
2018-08-29_3,92.9090909090909,619.1999999999999
2018-08-29_4,118.2,688.0
2018-08-29_6,240.33333333333334,316.2
2018-08-29_7,107.625,3272.5
2018-08-29_8,18.0,108.5
2018-08-30_1,32.833333333333336,77.5
2018-08-30_10,132.5,0.0
2018-08-30_1016,11.0,258.0
2018-08-30_11,72.0,0.0
2018-08-30_1103,331.0,0.0
2018-08-30_1124,63.666666666666664,771.975
2018-08-30_14,219.0,0.0
2018-08-30_2,64.33333333333333,1238.3999999999999
2018-08-30_2030,207.0,0.0
2018-08-30_2055,21.0,0.0
2018-08-30_3,125.66666666666667,434.0
2018-08-30_3040,55.0,4888.0395064
2018-08-30_4,31.0,1066.3999999999999
2018-08-30_5,82.8,0.0
2018-08-30_6,556.0,0.0
2018-08-30_8,119.66666666666667,0.0
2018-08-30_9,192.0,0.0
2018-08-31_10,498.0,0.0
2018-08-31_11,272.0,0.0
2018-08-31_1103,99.0,12094.800000000001
2018-08-31_12,437.5,0.0
2018-08-31_13,197.0,0.0
2018-08-31_2,55.0,6686.5
2018-08-31_3,113.4,1238.3999999999999
2018-08-31_3142,435.0,1074.1714286
2018-08-31_4,273.0,6686.5
2018-08-31_5,324.4,1190.0
2018-08-31_6,383.42857142857144,714.0
2018-08-31_7,259.0,4998.0
2018-08-31_8,228.0,2380.0
2018-08-31_9,224.5,0.0
2018-09-01_1,181.30769230769232,240.79999999999998
2018-09-01_10,123.0,0.0
2018-09-01_1016,233.0,257.5333333333333
2018-09-01_1032,24.0,0.0
2018-09-01_11,166.66666666666666,0.0
2018-09-01_1115,63.0,137.6
2018-09-01_1119,186.0,2213.1
2018-09-01_1120,102.0,344.0
2018-09-01_1122,19.0,0.0
2018-09-01_1124,52.0,8577.04
2018-09-01_12,97.75,0.0
2018-09-01_13,118.0,0.0
2018-09-01_14,138.0,0.0
2018-09-01_15,41.0,0.0
2018-09-01_16,56.0,0.0
2018-09-01_2,285.0,15.93189088976
2018-09-01_2031,412.0,402.8571429
2018-09-01_2513,33.0,252.26666666666665
2018-09-01_2539,325.0,0.0
2018-09-01_3,557.0,1238.3999999999999
2018-09-01_4,83.5,1616.8
2018-09-01_6,122.75,3094.0
2018-09-01_7,44.25,1100.8
