id,date,total.minutes
1035,2018-08-28,445.0
1035,2018-08-29,121.0
1035,2018-08-30,0.0
1035,2018-08-31,469.0
1035,2018-09-01,403.0
1035,2018-09-02,489.0
1036,2018-07-23,
1036,2018-07-24,
1036,2018-07-25,
1036,2018-07-26,
1036,2018-07-27,
1036,2018-07-28,
1036,2018-07-29,
1036,2018-07-30,
1036,2018-07-31,
1036,2018-08-01,
1036,2018-08-02,
1036,2018-08-03,
1036,2018-08-04,
1036,2018-08-05,
1036,2018-08-06,
1036,2018-08-07,
1036,2018-08-08,
1036,2018-08-09,
1036,2018-08-10,
1036,2018-08-11,
1036,2018-08-12,
1036,2018-08-13,0.0
1036,2018-08-14,176.0
1036,2018-08-15,166.0
1036,2018-08-16,291.0
1036,2018-08-17,0.0
1036,2018-08-18,
1036,2018-08-19,
1036,2018-08-20,
1036,2018-08-21,
1036,2018-08-22,
1036,2018-08-23,
1036,2018-08-24,
1036,2018-08-25,
1036,2018-08-26,
1036,2018-08-27,
1036,2018-08-28,
1036,2018-08-29,
1036,2018-08-30,
1036,2018-08-31,
1036,2018-09-01,
1036,2018-09-02,
1101,2018-07-23,371.0
1101,2018-07-24,573.0
1101,2018-07-25,475.0
1101,2018-07-26,181.0
1101,2018-07-27,491.0
1101,2018-07-28,181.0
1101,2018-07-29,519.0
1101,2018-07-30,279.0
1101,2018-07-31,0.0
1101,2018-08-01,153.0
1101,2018-08-02,230.0
1101,2018-08-03,319.0
1101,2018-08-04,481.0
1101,2018-08-05,229.0
1101,2018-08-06,625.0
1101,2018-08-07,60.0
1101,2018-08-08,75.0
1101,2018-08-09,0.0
1101,2018-08-10,119.0
1101,2018-08-11,397.0
1101,2018-08-12,265.0
1101,2018-08-13,203.0
1101,2018-08-14,306.0
1101,2018-08-15,463.0
1101,2018-08-16,422.0
1101,2018-08-17,0.0
1101,2018-08-18,1913.0
1101,2018-08-19,0.0
1101,2018-08-20,0.0
1101,2018-08-21,418.0
1101,2018-08-22,288.0
1101,2018-08-23,385.0
1101,2018-08-24,23.0
1101,2018-08-25,59.0
1101,2018-08-26,23.0
1101,2018-08-27,28.0
1101,2018-08-28,251.0
1101,2018-08-29,0.0
1101,2018-08-30,0.0
1101,2018-08-31,247.0
1101,2018-09-01,571.0
1101,2018-09-02,0.0
1102,2018-07-23,388.0
1102,2018-07-24,499.0
1102,2018-07-25,307.0
1102,2018-07-26,28.0
1102,2018-07-27,388.0
1102,2018-07-28,212.0
1102,2018-07-29,91.0
1102,2018-07-30,309.0
1102,2018-07-31,316.0
1102,2018-08-01,437.0
1102,2018-08-02,69.0
1102,2018-08-03,336.0
1102,2018-08-04,462.0
1102,2018-08-05,537.0
1102,2018-08-06,263.0
1102,2018-08-07,491.0
1102,2018-08-08,0.0
1102,2018-08-09,452.0
1102,2018-08-10,18.0
1102,2018-08-11,472.0
1102,2018-08-12,439.0
1102,2018-08-13,622.0
1102,2018-08-14,495.0
1102,2018-08-15,434.0
1102,2018-08-16,439.0
1102,2018-08-17,0.0
1102,2018-08-18,424.0
1102,2018-08-19,40.0
1102,2018-08-20,575.0
1102,2018-08-21,434.0
1102,2018-08-22,464.0
1102,2018-08-23,427.0
1102,2018-08-24,255.0
1102,2018-08-25,0.0
1102,2018-08-26,388.0
1102,2018-08-27,248.0
1102,2018-08-28,502.0
1102,2018-08-29,538.0
1102,2018-08-30,151.0
1102,2018-08-31,313.0
1102,2018-09-01,305.0
1102,2018-09-02,482.0
1103,2018-07-23,0.0
1103,2018-07-24,408.0
1103,2018-07-25,340.0
1103,2018-07-26,293.0
1103,2018-07-27,
1103,2018-07-28,0.0
1103,2018-07-29,178.0
1103,2018-07-30,0.0
1103,2018-07-31,109.0
1103,2018-08-01,503.0
1103,2018-08-02,465.0
1103,2018-08-03,243.0
1103,2018-08-04,162.0
1103,2018-08-05,
1103,2018-08-06,0.0
1103,2018-08-07,64.0
1103,2018-08-08,
1103,2018-08-09,0.0
1103,2018-08-10,327.0
1103,2018-08-11,154.0
1103,2018-08-12,362.0
1103,2018-08-13,485.0
